orm,v_diff,v_mean,ripple,i_mean
470,0.03,4.15,0.007228915662650602,0.008829787234042553
1000,0.06,8.8,0.006818181818181817,0.0088
1330,0.12,11.7,0.010256410256410256,0.008796992481203006
1430,0.84,12.4,0.06774193548387096,0.008671328671328672
1500,1.25,12.95,0.09652509652509653,0.008633333333333333
1600,2.2,13.2,0.16666666666666669,0.00825
1720,3.0,13.4,0.22388059701492538,0.007790697674418605
1830,3.1,13.6,0.22794117647058826,0.007431693989071038
2200,3,13.7,0.21897810218978103,0.006227272727272727
3300,2.9,13.9,0.20863309352517984,0.004212121212121212
