i,v
-0.082,-10.2
-0.0274,-3.48
-0.0135,-1.712
-0.011800000000000001,-1.506
-0.0111,-1.418
-0.0092,-1.186
-0.0074,-0.95
-0.004200000000000001,-0.537
-0.0024,-0.307
-0.0012,-0.1555
-0.00096,-0.1237
-0.00067,-0.0857
-0.000407,-0.0523
-0.000321,-0.0412
-0.000261,-0.0334
-0.000127,-0.0162
-7.7e-05,-0.0097
-4.4e-06,-0.0003
0.0011,0.142
0.0019,0.247
0.0031000000000000003,0.383
0.004,0.466
0.0063,0.554
0.0070999999999999995,0.57
0.008,0.588
0.009800000000000001,0.62
0.010199999999999999,0.626
0.0109,0.636
